18942, "KOCT HDTV  (18942)"
18959, "NatGeo WILD  (18959)"
18980, "Hallmark Movie and Mysteries West  (18980)"
19002, "TBS HD (West)  (19002)"
19010, "TNT HD (West)  (19010)"
19011, "Fox Soccer Plus  (19011)"
19024, "KUPB HD (19024)"
19069, "A&E Network HDTV (West)  (19069)"
19120, "Stingray Hit List  (19120)"
19121, "Stingray Pop Adult  (19121)"
19122, "Stingray Swinging Standards  (19122)"
19123, "Stingray Jukebox Oldies  (19123)"
19124, "Stingray Flashback 70s  (19124)"
19125, "Stingray Everything 80s  (19125)"
19126, "Stingray Nothin But 90s  (19126)"
19127, "Stingray Maximum Party  (19127)"
19128, "Stingray Groove \& Funk  (19128)"
19129, "Stingray Dance Clubbin  (19129)"
19130, "Stingray Holiday Hits  (19130)"
19131, "Stingray Classic Rock  (19131)"
19132, "Stingray Rock Alternative  (19132)"
19133, "Stingray Rock  (19133)"
19134, "Stingray Heavy Metal  (19134)"
19135, "Stingray Alt Rock Classics  (19135)"
19136, "Stingray The Blues  (19136)"
19137, "Stingray Adult Alternative  (19137)"
19138, "Stingray Folk Roots  (19138)"
19139, "Stingray Alt-Country Americana  (19139)"
19140, "Stingray Hot Country  (19140)"
19141, "Stingray No Fences  (19141)"
19142, "Stingray Country Classics  (19142)"
19143, "Stingray Bluegrass  (19143)"
19144, "Stingray The Light  (19144)"
19145, "Stingray Gospel  (19145)"
19146, "Stingray Soul Storm  (19146)"
19147, "Stingray Urban Beats  (19147)"
19148, "Stingray Classic RnB \& Soul  (19148)"
19149, "Stingray Hip Hop  (19149)"
19150, "Stingray Jazz Masters  (19150)"
19151, "Stingray Jazz Now  (19151)"
19152, "Stingray Smooth Jazz  (19152)"
19153, "Stingray The Chill Lounge  (19153)"
19154, "Stingray The Spa  (19154)"
19155, "Stingray Easy Listening  (19155)"
19156, "Stingray Pop Classics  (19156)"
19157, "Stingray Classic Masters  (19157)"
19158, "Stingray Chamber Music  (19158)"
19159, "Stingray Broadway  (19159)"
19160, "Stingray Eclectic Electronic  (19160)"
19161, "Stingray Y2K  (19161)"
19162, "Stingray Jammin  (19162)"
19163, "Stingray Latino Tropical  (19163)"
19164, "Stingray Todays Latin Pop  (19164)"
19165, "Stingray Retro Latino  (19165)"
19166, "Stingray Latino Urbana  (19166)"
19167, "Stingray Rock en Espanol  (19167)"
19168, "Stingray Romance Latino  (19168)"
19170, "Stingray Kids Stuff  (19170)"
19200, "KUPX ION HD  (19200)"
19204, "KVCW MNT (19204)"
19213, "Do It Yourself Network HDTV (East)  (19213)"
19228, "Fox Soccer Plus HDTV  (19228)"
19247, "KCEC HDTV Univision 50  (19247)"
19248, "KTFD HDTV Unimas 14  (19248)"
19389, "CSPAN HDTV  (19389)"
19390, "CSPAN2 HDTV  (19390)"
19393, "Cooking Channel HDTV  (19393)"
19461, "KPEJ Estrella TV (19461)"
19603, "GSN HDTV (East)  (19603)"
19644, "CW Plus HDTV (West)  (19644)"
19665, "KXTU HDTV CW (19665)"
19711, "KASA Cozi  (19711)"
19860, "OWN HDTV (East)  (19860)"
19861, "OWN  (19861)"
19862, "OWN (West)  (19862)"
19905, "KSTU Antenna TV  (19905)"
19933, "Oxygen HDTV (East)  (19933)"
19964, "KDVR Antenna TV  (19964)"
19972, "KTVD MeTV  (19972)"
19993, "True Crime  (19993)"
20000, "DMX 60s Revolution (20000)"
20001, "DMX 70s Hits  (20001)"
20002, "DMX 80s Hits  (20002)"
20003, "DMX Groove Lounge  (20003)"
20004, "DMX Adult Contemporary  (20004)"
20005, "DMX 8-Tracks  (20005)"
20006, "DMX Alternative  (20006)"
20007, "DMX Big Band and Swing  (20007)"
20009, "DMX The Playground  (20009)"
20010, "DMX Jazz  (20010)"
20011, "DMX Classic Rock  (20011)"
20012, "DMX The Spirit  (20012)"
20014, "DMX Dance  (20014)"
20016, "DMX Gospel Glory  (20016)"
20017, "DMX Spike  (20017)"
20018, "DMX Hottest Hits  (20018)"
20019, "DMX Jazz Vocal Blends  (20019)"
20021, "DMX Lite Classical  (20021)"
20022, "DMX Smooth Jazz  (20022)"
20024, "DMX Modern Country  (20024)"
20025, "DMX Classic R \& B  (20025)"
20027, "DMX New Age  (20027)"
20030, "DMX Urban Beat  (20030)"
20031, "DMX Reggae  (20031)"
20034, "DMX Soft Hits  (20034)"
20035, "DMX Symphonic  (20035)"
20037, "DMX Blues  (20037)"
20038, "DMX Traditional Country  (20038)"
20039, "DMX Silky Soul  (20039)"
